"Phone Code","Description"
"53-32","Jimaguayu"
"53-31","Jobabo"
"53-5","Jovellanos"
"53-33","Jucaro"
"53-225","Julio Antonio Mella"
"53-31","La Boca"
"53-8","La Coloma"
"53-61","La Demajagua"
"53-61","La Fé"
"53-32","La Jagua"
"53-8","La Palma"
"53-61","La Reforma"
"53-66","La Salud"
"53-61","La Victoria"
"53-84","Las Martinas"
"53-23","Las Mercedes"
"53-8","Las Ovas"
"53-31","Las Parras"
"53-31","Las Tunas"
"53-5","Limonar"
"53-85","Lopez Peña"
"53-32","Los Angeles"
"53-8","Los Palacios"
"53-22","Los Reynaldos"
"53-32","Lugareño"
"53-23","Mabay"
"53-24","Maceo"
"53-64","Madruga"
"53-33","Majagua"
"53-31","Majibacoa"
"53-31","Manati"
"53-225","Mangos de Baragua"
"53-84","Mantua"
"53-23","Manzanillo"
"53-24","Marcane"
"53-23","Marea de Portillo"
"53-63","Mariel"
"53-5","Martí"
"53-52","Matanzas"
"53-5","Maximo Gomez"
"53-33","Maximo Gomez"
"53-24","Mayari"
"53-23","Media Luna"
"53-62","Melena del Sur"
"53-31","Menendez"
"53-32","Minas"
"53-8","Minas de Matahumbre"
"53-24","Mir"
"53-338","Miraflores"
"53-24","Moa"
"53-789","MOBILE PHONES"
"53-335","Moron"
"53-32","Najasa"
"53-32","Neuvitas"
"53-32","Nicaragua"
"53-24","Nicaro-Levisa"
"53-23","Niquero"
"53-62","Nueva"
"53-61","Nueva Gerona"
"53-62","Nueva Paz"
"53-31","Omaja"
"53-33","Orlando Gonzalez"
"53-86","Pablo de Torriente"
"53-225","Palma Soriano"
"53-5","Pedro Betancourt"
"53-23","Peralejo"
"53-23","Pilon"
"53-82","Pinar del Río"
"53-680","Playa Baracoa"
"53-5","Playa Garón"
"53-32","Playa Santa Lucia"
"53-33","Primero de Enero"
"53-8","Puerto Esperanza"
"53-31","Puerto Marti"
"53-31","Puerto Padre"
"53-67","Quivicán"
"53-24","Rafael Freyre"
"53-23","Rio Cauto"
"53-32","Rodolfo Ramirez Esquivel"
"53-33","Ruta Invasora"
"53-84","Sábalo"
"53-24","Sagua de Tanamo"
"53-24","San Andres"
"53-32","San Antonio"
"53-64","San Antonio"
"53-650","San Antonio"
"53-64","San Antonio de Las Vegas"
"53-650","San Antonio de Los Baños"
"53-64","San Jose de Las Lajas"
"53-8","San Juan y Martínez"
"53-8","San Luis"
"53-62","San Nicolás de Bari"
"53-41","Sancti Spiritus"
"53-33","Sanguili"
"53-692","Santa Cruz del Norte"
"53-32","Santa Cruz del Sur"
"53-226","Santiago de Cuba"
"53-32","Sibanicu"
"53-32","Siboney"
"53-63","Silvio Caro"
"53-32","Sola"
"53-24","Tacajo"
"53-33","Tamarindo"
"53-64","Tapaste"
"53-5","Unión de Reyes"
"53-24","Urbano Noris"
"53-5","Varadero"
"53-31","Vasquez"
"53-24","Velasco"
"53-33","Venezuela"
"53-32","Vertientes"
"53-42","Villa Clara"
"53-8","Viñales"
"53-23","Yado del Yeso"
"53-23","Yara"
"53-338","Yarual"
